"url","status","final_url","content_type","error","title","title_length","meta_description","meta_description_length","canonical","hreflang","robots","x_robots_tag","h1","h1_count","h2_count","word_count","json_ld_types","invalid_json_ld","product_schema","faq_schema","howto_schema","breadcrumb_schema","article_schema","organization_schema","internal_links","outbound_links","image_count","images_missing_alt","og_title","og_description","og_image","twitter_metadata","thin_content","inbound_internal_links","orphan","duplicate_title","duplicate_description","duplicate_h1"
"https://aitoolspak.tech/","200","https://aitoolspak.tech/","text/html; charset=utf-8","","Cheap AI Tools Pakistan | AI Tools Sale & PKR Prices","52","Compare cheap AI tools in Pakistan, current sale prices in PKR, plan duration, access checks and WhatsApp support for ChatGPT, Claude, Canva Pro and more.","154","https://aitoolspak.tech/","en-PK=https://aitoolspak.tech/|x-default=https://aitoolspak.tech/","index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1","","AI Tools Pak Cheap AI tools in Pakistan.","1","15","2404","Brand|BreadcrumbList|ContactPoint|Country|DefinedRegion|ItemList|ListItem|MerchantReturnPolicy|MonetaryAmount|Offer|OfferShippingDetails|Organization|Person|Product|QuantitativeValue|SearchAction|ShippingDeliveryTime|WebPage|WebSite","0","true","false","false","true","false","true","68","36","1","0","true","true","true","true","false","188","false","true","true","true"
"https://aitoolspak.tech/about-us/","200","https://aitoolspak.tech/about-us/","text/html; charset=utf-8","","About AI Tools Pak | AI Tools Pak","33","Learn about AI Tools Pak, our WhatsApp order process, support hours and transparency rules for AI subscriptions in Pakistan.","124","https://aitoolspak.tech/about-us/","","index, follow, max-snippet:-1, max-image-preview:large","","About AI Tools Pak","1","7","362","AboutPage|BreadcrumbList|ListItem|WebPage|WebSite","0","false","false","false","true","false","false","10","3","2","0","true","true","true","true","false","189","false","false","false","false"
"https://aitoolspak.tech/adobe-creative-1-year-pakistan/","200","https://aitoolspak.tech/adobe-creative-1-year-pakistan/","text/html; charset=utf-8","","Adobe Creative — 1 Year Price in Pakistan | AI Tools Pak","56","Check Adobe Creative — 1 Year price in Pakistan, PKR 25,000 listing, private access, 1 year and safe WhatsApp activation details.","129","https://aitoolspak.tech/adobe-creative-1-year-pakistan/","","index, follow, max-snippet:-1, max-image-preview:large","","Adobe Creative Cloud price in Pakistan","1","9","579","Brand|BreadcrumbList|ListItem|Offer|Organization|Product|WebPage|WebSite","0","true","false","false","true","false","true","15","3","3","0","true","true","true","true","false","0","true","false","false","true"
"https://aitoolspak.tech/adobe-creative-2-months-pakistan/","200","https://aitoolspak.tech/adobe-creative-2-months-pakistan/","text/html; charset=utf-8","","Adobe Creative — 2 Months Price in Pakistan | AI Tools Pak","58","Check Adobe Creative — 2 Months price in Pakistan, PKR 1,700 listing, private access, 2 months and safe WhatsApp activation details.","132","https://aitoolspak.tech/adobe-creative-2-months-pakistan/","","index, follow, max-snippet:-1, max-image-preview:large","","Adobe Creative Cloud price in Pakistan","1","9","579","Brand|BreadcrumbList|ListItem|Offer|Organization|Product|WebPage|WebSite","0","true","false","false","true","false","true","15","3","3","0","true","true","true","true","false","0","true","false","false","true"
"https://aitoolspak.tech/agents.md","200","https://aitoolspak.tech/agents.md","text/markdown; charset=utf-8","","","0","","0","","","","","","0","0","0","","0","false","false","false","false","false","false","0","0","0","0","false","false","false","false","false","0","true","","",""
"https://aitoolspak.tech/ai-automation-services/","200","https://aitoolspak.tech/ai-automation-services/","text/html; charset=utf-8","","AI Automation Services for Pakistani Businesses | AI Phone Agents & WhatsApp Bots | AI Tools Pak","96","AI phone agents, WhatsApp auto-reply bots and n8n automations for Pakistani SMBs. 24/7 Urdu & English AI call answering, lead capture and follow-ups. PKR pricing, 5-7 day setup. DM us on WhatsApp for a free quote.","213","https://aitoolspak.tech/ai-automation-services/","en-PK=https://aitoolspak.tech/ai-automation-services/|x-default=https://aitoolspak.tech/ai-automation-services/","index, follow, max-snippet:-1, max-image-preview:large","","AI phone agents & WhatsApp bots for Pakistani businesses.","1","6","909","BreadcrumbList|ImageObject|ListItem|Offer|Organization|Service|Thing|WebPage|WebSite","0","false","false","false","true","false","true","9","4","1","0","true","true","true","true","false","77","false","false","false","false"
"https://aitoolspak.tech/ai-phone-agent/","200","https://aitoolspak.tech/ai-phone-agent/","text/html; charset=utf-8","","AI Phone Agent for International Businesses | AI Receptionist That Answers Missed Calls | AI Tools Pak","102","AI phone agent that answers your business calls 24/7 in a natural voice — greets callers, answers FAQs, takes bookings and captures every missed call as a lead. For clinics, real estate, e-commerce and law firms in the US, UK, EU, Canada and Australia. $199 setup, $49/mo. Free 15-minute demo call.","298","https://aitoolspak.tech/ai-phone-agent/","en=https://aitoolspak.tech/ai-phone-agent/|x-default=https://aitoolspak.tech/ai-phone-agent/","index, follow, max-snippet:-1, max-image-preview:large","","Never miss another customer call. An AI receptionist answers 24/7.","1","6","892","BreadcrumbList|ImageObject|ListItem|Offer|Organization|Service|Thing|WebPage|WebSite","0","false","false","false","true","false","true","7","3","1","0","true","true","true","true","false","2","false","false","false","false"
"https://aitoolspak.tech/ai-post/","200","https://aitoolspak.tech/ai-post/","text/html; charset=utf-8","","The AI Post — AI News, Tutorials, Comparisons & Tools, Daily","60","AI news, tutorials, comparisons & tools — daily.","48","https://aitoolspak.tech/ai-post/","","","","NVIDIA Teams Up With Six Wall Street Giants to Mobilize $500B for AI Infrastructure — GPUs Become an Asset Class","1","3","873","CollectionPage|ItemList|ListItem|SearchAction|WebSite","0","false","false","false","false","false","false","30","0","17","0","true","true","true","true","false","36","false","false","false","true"
"https://aitoolspak.tech/ai-post/about.html","200","https://aitoolspak.tech/ai-post/about.html","text/html; charset=utf-8","","About The AI Post","17","About The AI Post. Original content, transparent policies.","58","https://aitoolspak.tech/ai-post/about.html","","","","About The AI Post","1","4","156","","0","false","false","false","false","false","false","13","0","0","0","true","true","false","true","true","34","false","false","false","false"
"https://aitoolspak.tech/ai-post/ai-news/","200","https://aitoolspak.tech/ai-post/ai-news/","text/html; charset=utf-8","","AI News — The AI Post","21","All ai news articles from The AI Post.","38","https://aitoolspak.tech/ai-post/ai-news/","","","","📰 AI News","1","0","376","","0","false","false","false","false","false","false","19","0","6","0","true","true","true","true","false","34","false","false","false","false"
